45|Denmark|Copenhagen|Aarhus|Odense|Aalborg|Esbjerg
46|Djibouti|Djibouti|Ali Sabieh|Dikhil|Tadjoura|Obock
47|Dominica|Roseau|Portsmouth|Marigot|Berekua|Mahaut
48|Dominican Republic|Santo Domingo|Santiago|San Pedro de Macoris|La Romana|San Francisco de Macoris
49|East Timor|Dili|Baucau|Same|Aileu|Manatuto
50|Ecuador|Quito|Guayaquil|Cuenca|Manta|Portoviejo
51|Egypt|Cairo|Alexandria|Giza|Shubra El-Kheima|Port Said
52|El Salvador|San Salvador|Santa Ana|Soyapango|San Miguel|Nueva San Salvador
53|Equatorial Guinea|Malabo|Bata|Ebebiyin|Aconibe|Anisoc
54|Eritrea|Asmara|Keren|Mendefera|Adi Keyh|Assab
55|Estonia|Tallinn|Tartu|Narva|Kohtla-Jarve|Parnu
56|Ethiopia|Addis Ababa|Dire Dawa|Mek'ele|Nazret|Bahir Dar
57|Fiji|Suva|Lautoka|Nadi|Labasa|Levuka
58|Finland|Helsinki|Espoo|Tampere|Vantaa|Turku
59|France|Paris|Marseille|Lyon|Toulouse|Nice
60|Gabon|Libreville|Port-Gentil|Franceville|Oyem|Moanda
61|Gambia|Banjul|Serekunda|Brikama|Bakau|Lamin
62|Georgia|Tbilisi|Kutaisi|Batumi|Rustavi|Zugdidi
63|Germany|Berlin|Munich|Frankfurt|Hamburg|Cologne
64|Ghana|Accra|Kumasi|Tamale|Takoradi|Cape Coast
65|Greece|Athens|Thessaloniki|Patras|Heraklion|Volos
66|Grenada|St. George's|Gouyave|Victoria|Sauteurs|Hillsborough
67|Guatemala|Guatemala City|Mixco|Villa Nueva|Petapa|San Juan Sacatepequez
68|Guinea|Conakry|Nzerekore|Kankan|Kindia|Boffa
69|Guinea-Bissau|Bissau|Bafata|Gabu|Cacheu|Bolama
70|Guyana|Georgetown|Linden|New Amsterdam|Bartica|Skeldon
71|Haiti|Port-au-Prince|Delmas|Carrefour|Cap-Haitien|Petion-Ville
72|Honduras|Tegucigalpa|San Pedro Sula|La Ceiba|Choloma|Comayagua
73|Hungary|Budapest|Debrecen|Szeged|Miskolc|Pecs
74|Iceland|Reykjavik|Kopavogur|Hafnarfjordur|Akureyri|Reykjanesbaer
75|India|New Delhi|Mumbai|Kolkata|Chennai|Bangalore
76|Indonesia|Jakarta|Surabaya|Bandung|Medan|Semarang
77|Iran|Tehran|Mashhad|Isfahan|Karaj|Tabriz
78|Iraq|Baghdad|Basra|Mosul|Erbil|Najaf
79|Ireland|Dublin|Cork|Limerick|Galway|Waterford
80|Israel|Jerusalem|Tel Aviv|Haifa|Rishon LeZion|Petah Tikva
81|Italy|Rome|Milan|Naples|Turin|Palermo
82|Ivory Coast|Abidjan|Bouake|Daloa|Yamoussoukro|Korhogo
83|Jamaica|Kingston|Montego Bay|Mandeville|May Pen|Spanish Town
84|Japan|Tokyo|Yokohama|Osaka|Nagoya|Sapporo
85|Jordan|Amman|Zarqa|Irbid|Aqaba|Al-Russeifa
86|Kazakhstan|Nur-Sultan|Almaty|Karaganda|Shymkent|Taraz
87|Kenya|Nairobi|Mombasa|Kisumu|Nakuru|Eldoret
88|Kiribati|Tarawa|Betio Village|Bikenibeu Village|Teaoraereke Village|But
89|Kuwait|Kuwait City|Al Ahmadi|Hawalli|Salwa|Jahra
90|Kyrgyzstan|Bishkek|Osh|Jalal-Abad|Karakol|Talas
91|Laos|Vientiane|Pakse|Savannakhet|Luang Prabang|Thakhek
92|Latvia|Riga|Daugavpils|Liepaja|Jelgava|Jurmala
93|Lebanon|Beirut|Tripoli|Sidon|Tyre|Jounieh
94|Lesotho|Maseru|Teyateyaneng|Leribe|Maputsoe|Mohale's Hoek
95|Liberia|Monrovia|Gbarnga|Bensonville|Harper|Kakata
96|Libya|Tripoli|Benghazi|Misratah|Tarhuna|Al Khums
97|Liechtenstein|Vaduz|Schaan|Triesen|Balzers|Eschen
98|Lithuania|Vilnius|Kaunas|Klaipeda|Siauliai|Panevezys
99|Luxembourg|Luxembourg|Esch-sur-Alzette|Dudelange|Schifflange|Bettembourg
100|Madagascar|Antananarivo|Toamasina|Antsirabe|Fianarantsoa|Mahajanga
101|Malawi|Lilongwe|Blantyre|Mzuzu|Zomba|Kasungu
102|Malaysia|Kuala Lumpur|George Town|Ipoh|Shah Alam|Petaling Jaya
103|Maldives|Male|Addu City|Fuvahmulah|Thinadhoo|Kulhudhuffushi
104|Mali|Bamako|Sikasso|Mopti|Koutiala|Kayes
105|Malta|Valletta|Birkirkara|Mosta|Qormi|Zabbar
106|Marshall Islands|Majuro|Kwajalein|Arno|Jabor|Wotje
107|Mauritania|Nouakchott|Nouadhibou|Zouerat|Rosso|Kiffa
108|Mauritius|Port Louis|Vacoas-Phoenix|Curepipe|Quatre Bornes|Triolet
109|Mexico|Mexico City|Ecatepec|Guadalajara|Puebla|Ciudad Juarez
110|Moldova|Chisinau|Tiraspol|Balti|Bender|Cahul
111|Monaco|Monaco|Monte-Carlo|La Condamine|Fontvieille|Saint-Romain
112|Mongolia|Ulaanbaatar|Erdenet|Darkhan|Choibalsan|Bulgan
113|Montenegro|Podgorica|Niksic|Herceg Novi|Bar|Budva
114|Morocco|Rabat|Casablanca|Fes|Marrakesh|Agadir
115|Mozambique|Maputo|Matola|Beira|Nampula|Chimoio
116|Myanmar|Naypyidaw|Yangon|Mandalay|Bago|Pyay
117|Namibia|Windhoek|Rundu|Walvis Bay|Swakopmund|Katima Mulilo
118|Nauru|Yaren|Denigomodu|Aiwo|Baiti|Boe
119|Nepal|Kathmandu|Pokhara|Patan|Biratnagar|Birgunj
120|Netherlands|Amsterdam|Rotterdam|The Hague|Utrecht|Eindhoven
121|New Zealand|Wellington|Auckland|Christchurch|Hamilton|Tauranga
122|Nicaragua|Managua|Leon|Masaya|Matagalpa|Chinandega
123|Niger|Niamey|Zinder|Maradi|Agadez|Tahoua
124|Nigeria|Abuja|Lagos|Kano|Ibadan|Kaduna
125|North Korea|Pyongyang|Hamhung|Chongjin|Nampo|Sariwon
126|North Macedonia|Skopje|Bitola|Kumanovo|Prilep|Tetovo
127|Norway|Oslo|Bergen|Trondheim|Stavanger|Drammen
128|Oman|Muscat|Salalah|Sohar|Sur|Nizwa
129|Pakistan|Islamabad|Karachi|Lahore|Faisalabad|Rawalpindi
130|Palau|Ngerulmud|Koror|Melekeok|Angaur|Airai
131|Panama|Panama City|San Miguelito|Tocumen|David|Arraijan
132|Papua New Guinea|Port Moresby|Lae|Arawa|Mount Hagen|Popondetta
133|Paraguay|Asuncion|Ciudad del Este|San Lorenzo|Lambare|Fernando de la Mora
134|Peru|Lima|Arequipa|Trujillo|Chiclayo|Iquitos
135|Philippines|Manila|Quezon City|Davao City|Caloocan|Cebu City
136|Poland|Warsaw|Krakow|Lodz|Wroclaw|Poznan
137|Portugal|Lisbon|Porto|Amadora|Braga|Setubal
138|Qatar|Doha|Al Rayyan|Al Wakra|Umm Salal Muhammad|Mesaieed
139|Romania|Bucharest|Cluj-Napoca|Timisoara|Iasi|Constanta
140|Russia|Moscow|Saint Petersburg|Novosibirsk|Yekaterinburg|Nizhny Novgorod
141|Rwanda|Kigali|Butare|Gitarama|Ruhengeri|Musanze
142|Saint Kitts and Nevis|Basseterre|Charlestown|Dieppe Bay Town|Cayon|Newcastle
143|Saint Lucia|Castries|Dennery|Vieux Fort|Soufriere|Gros Islet
144|Saint Vincent and the Grenadines|Kingstown|Georgetown|Byera Village|Biabou|Chateaubelair
145|Samoa|Apia|Vaitele|Faleula|Siusega|Malie
146|San Marino|City of San Marino|Borgo Maggiore|Serravalle|Domagnano|Fiorentino
147|Sao Tome and Principe|Sao Tome|Neves|Santana|Ribeira Afonso|Porto Alegre
148|Saudi Arabia|Riyadh|Jeddah|Mecca|Medina|Dammam
149|Senegal|Dakar|Thies|Pikine|Saint-Louis|Ziguinchor
150|Serbia|Belgrade|Novi Sad|Nis|Kragujevac|Subotica
151|Seychelles|Victoria|Anse Boileau|Beau Vallon|Takamaka|Cascade
152|Sierra Leone|Freetown|Bo|Kenema|Koidu|Magburaka
153|Singapore|Singapore|Jurong West|Woodlands|Tampines|Choa Chu Kang
154|Slovakia|Bratislava|Kosice|Presov|Nitra|Zilina
155|Slovenia|Ljubljana|Maribor|Celje|Kranj|Velenje
156|Solomon Islands|Honiara|Auki|Gizo|Kirakira|Lata
157|Somalia|Mogadishu|Hargeisa|Kismayo|Marka|Jamaame
158|South Africa|Pretoria|Cape Town|Durban|Johannesburg|Soweto
159|South Korea|Seoul|Busan|Incheon|Daegu|Daejeon
160|South Sudan|Juba|Wau|Malakal|Yei|Bor
161|Spain|Madrid|Barcelona|Valencia|Seville|Zaragoza
162|Sri Lanka|Colombo|Gampaha|Kandy|Jaffna|Negombo
163|Sudan|Khartoum|Omdurman|Nyala|Port Sudan|Kassala
164|Suriname|Paramaribo|Lelydorp|Nieuw Nickerie|Moengo|Nieuw Amsterdam
165|Sweden|Stockholm|Gothenburg|Malmö|Uppsala|Vasteras
166|Switzerland|Bern|Zurich|Geneva|Basel|Lausanne
167|Syria|Damascus|Aleppo|Homs|Latakia|Hama
168|Taiwan|Taipei|Kaohsiung|Taichung|Tainan|Banqiao
169|Tajikistan|Dushanbe|Khujand|Kulob|Qurghonteppa|Istaravshan
170|Tanzania|Dodoma|Dar es Salaam|Mwanza|Zanzibar City|Arusha
171|Thailand|Bangkok|Nonthaburi|Pak Kret|Hat Yai|Surat Thani
172|Timor-Leste|Dili|Same|Aileu|Suai|Lospalos
173|Togo|Lome|Sokode|Kara|Atakpame|Bassar
174|Tonga|Nuku'alofa|Neiafu|Haveluloto|Vaini|Pangai
175|Trinidad and Tobago|Port of Spain|Chaguanas|San Fernando|Arima|Marabella
176|Tunisia|Tunis|Sfax|Sousse|Kairouan|Bizerte
177|Turkey|Ankara|Istanbul|Izmir|Bursa|Adana
178|Turkmenistan|Ashgabat|Turkmenabat|Dasog179|Tuvalu|Funafuti|Nukufetau|Nanumanga|Nui|Niutao
180|Uganda|Kampala|Gulu|Lira|Mbarara|Jinja
181|Ukraine|Kyiv|Kharkiv|Odesa|Dnipro|Donetsk
182|United Arab Emirates|Abu Dhabi|Dubai|Sharjah|Al Ain|Ras Al Khaimah
183|United Kingdom|London|Birmingham|Manchester|Glasgow|Liverpool
184|United States|Washington, D.C.|New York City|Los Angeles|Chicago|Houston
185|Uruguay|Montevideo|Salto|Ciudad de la Costa|Paysandu|Las Piedras
186|Uzbekistan|Tashkent|Namangan|Samarqand|Andijon|Bukhara
187|Vanuatu|Port Vila|Luganville|Sola|Lakatoro|Saratamata
188|Venezuela|Caracas|Maracaibo|Valencia|Barquisimeto|Ciudad Guayana
189|Vietnam|Hanoi|Ho Chi Minh City|Haiphong|Da Nang|Nha Trang
190|Yemen|Sanaa|Taiz|Al Hudaydah|Aden|Ibb
191|Zambia|Lusaka|Ndola|Kitwe|Kabwe|Chingola
192|Zimbabwe|Harare|Bulawayo|Chitungwiza|Mutare|Gweru
